sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
48,0.99203,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.08351,1.0,0.0,0.0,2681,127,0.09159,1.0,0.04799,0.08991,0.99029,0.04709,0.09159,1.0,0.04799,0.82922,0.91596,0.75749,0.68305,1.0,0.99498,0.84102,98.44478,4426.2,
49,0.99752,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564,0.07695,0.85714,0.14286,0.0,19942,120,0.01177,1.0,0.00592,0.01165,1.0,0.00586,0.01177,1.0,0.00592,0.85477,0.96395,0.76781,0.49805,0.57143,0.99972,0.57757,451.31182,7647.21,
50,0.9768,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.04372,1.0,0.0,0.0,6262,123,0.04007,1.0,0.02044,0.03932,0.99038,0.02006,0.04007,1.0,0.02044,0.86277,0.93842,0.79841,0.83078,1.0,0.81132,0.89652,117.97785,4426.21,
51,0.92881,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0241,0.07506,1.0,0.0,0.0,21024,121,0.01108,1.0,0.00557,0.01029,0.9375,0.00517,0.01086,0.97938,0.00546,0.85698,0.94163,0.7863,0.6768,0.75,0.9775,0.73615,323.89492,8898.4,
52,0.99873,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17647,0.07879,0.875,0.125,0.0,4162,128,0.061,1.0,0.03146,0.0581,0.96117,0.02995,0.0522,0.85577,0.02692,0.88887,0.95591,0.83061,0.66337,1.0,0.92091,0.82378,171.04019,4426.21,
53,0.98029,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10714,0.15649,0.83333,0.0,0.16667,7092,121,0.03543,1.0,0.01803,0.03379,0.96226,0.01719,0.03013,0.85047,0.01534,0.85308,0.92463,0.7918,0.70401,0.83333,0.99935,0.78527,181.8066,4426.22,
54,0.99895,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04412,0.06264,0.875,0.125,0.0,17292,116,0.01326,1.0,0.00667,0.013,0.9901,0.00654,0.01183,0.89216,0.00595,0.8636,0.94129,0.79775,0.59379,0.625,0.99999,0.64689,409.68617,6506.42,
55,0.99878,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03448,0.02631,1.0,0.0,0.0,14607,121,0.01733,0.99048,0.00874,0.017,0.98077,0.00857,0.01733,0.99048,0.00874,0.85683,0.95768,0.7752,0.61325,0.85714,0.99998,0.74948,371.10652,4774.46,
56,0.99779,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.05883,1.0,0.0,0.0,3849,122,0.05955,1.0,0.03069,0.05898,1.0,0.03039,0.05955,1.0,0.03069,0.88121,0.9679,0.80878,0.75011,1.0,0.92458,0.86751,102.29772,4426.21,
57,0.99785,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13636,0.1054,1.0,0.0,0.0,5537,119,0.04319,1.0,0.02207,0.04109,0.9604,0.021,0.03642,0.84314,0.01861,0.79056,0.83799,0.74821,0.70896,1.0,0.99966,0.85445,142.7098,4426.21,
