sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
36,0.69829,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.27273,0.60897,0.0,0.5,0.5,2779,329,0.22502,0.99662,0.12683,0.2084,0.92542,0.11742,0.13577,0.60135,0.07653,0.83408,0.85502,0.81415,0.56882,0.66667,0.9982,0.6509,92.56105,4426.21,
37,0.95465,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.26094,0.9,0.1,0.0,4528,549,0.21178,0.98478,0.11865,0.18943,0.88235,0.1061,0.13137,0.61087,0.0736,0.82143,0.80692,0.83647,0.5392,0.5,0.86169,0.55577,155.10277,4187.77,
38,0.40876,6.0,4.0,0.0,2.0,0.0,0.0,2.0,0.16327,0.6029,0.2,0.3,0.5,12368,1038,0.1564,0.9527,0.08519,0.11543,0.70374,0.06287,0.08254,0.50275,0.04496,0.75854,0.75855,0.75853,0.39657,0.2,0.86851,0.36514,340.79462,4426.25,
39,0.96849,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29167,0.49543,0.18182,0.63636,0.18182,5959,719,0.21236,0.97204,0.1192,0.18009,0.82537,0.10107,0.1042,0.47697,0.05849,0.81348,0.80636,0.82072,0.53618,0.63636,0.89754,0.61239,191.62605,3858.45,
40,0.26175,4.0,4.0,0.0,1.0,2.0,0.0,1.0,0.26316,0.51226,0.25,0.25,0.5,4640,550,0.19777,0.92257,0.11076,0.13523,0.63193,0.07572,0.1309,0.61062,0.07331,0.79743,0.78972,0.80529,0.44554,0.375,0.90202,0.46297,136.40725,4426.21,
41,0.72596,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.15789,0.42062,0.4,0.6,0.0,9613,1024,0.19918,0.9865,0.11077,0.14948,0.74099,0.08312,0.10152,0.50281,0.05646,0.78854,0.80293,0.77466,0.3869,0.2,0.91128,0.36458,337.73561,4426.24,
42,0.40172,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.09722,0.62294,0.375,0.0,0.625,18215,1033,0.09758,0.91098,0.05155,0.07195,0.67245,0.03801,0.06105,0.56994,0.03225,0.72996,0.71783,0.74251,0.43847,0.375,0.9374,0.46297,473.45435,7095.51,
43,0.84528,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.17241,0.24778,0.875,0.125,0.0,7222,862,0.21371,0.99732,0.11968,0.19684,0.91957,0.11022,0.12708,0.59304,0.07116,0.79207,0.77879,0.80581,0.58059,0.875,0.91324,0.73162,197.99277,4426.22,
44,-0.22324,5.0,8.0,0.0,3.0,3.0,1.0,2.0,0.5625,0.42484,0.38462,0.46154,0.15385,3991,498,0.2168,0.98987,0.12173,0.17698,0.80964,0.09935,0.15914,0.72658,0.08935,0.79419,0.81232,0.77685,0.5735,0.76923,0.86067,0.68051,170.10845,4426.22,
45,0.22668,2.0,5.0,0.0,3.0,1.0,2.0,2.0,0.06452,0.39514,0.57143,0.14286,0.28571,15841,1114,0.12815,0.96154,0.06865,0.07765,0.58324,0.0416,0.0695,0.52149,0.03723,0.75692,0.77381,0.74074,0.39858,0.14286,0.9475,0.35118,334.42107,5023.84,
46,0.47932,5.0,3.0,1.0,1.0,1.0,0.0,2.0,0.19048,0.48255,0.44444,0.22222,0.33333,10519,1022,0.16263,0.8924,0.08947,0.11598,0.637,0.0638,0.09421,0.51696,0.05183,0.77169,0.78638,0.75754,0.55234,0.66667,0.99421,0.64226,282.50359,4426.24,
47,0.77341,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.28125,0.50834,0.11111,0.77778,0.11111,8030,1010,0.22111,0.99149,0.12443,0.1797,0.80657,0.10111,0.10784,0.4836,0.06069,0.79183,0.80958,0.77483,0.47832,0.44444,0.96125,0.51306,230.0983,4426.23,
48,0.813,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.36364,0.489,0.4,0.2,0.4,2681,332,0.20923,0.97318,0.11721,0.1756,0.81923,0.09834,0.12191,0.56705,0.0683,0.79242,0.80719,0.77817,0.63518,1.0,0.98683,0.81627,79.59532,4426.2,
49,0.85337,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03846,0.52948,0.0,0.83333,0.16667,19942,1139,0.10392,0.99185,0.05483,0.06831,0.65268,0.03604,0.05696,0.54366,0.03005,0.72071,0.72542,0.71607,0.57574,0.83333,0.99904,0.72111,370.7049,7652.43,
50,-0.74102,1.0,9.0,0.0,2.0,6.0,0.0,1.0,0.24,0.47292,0.3,0.4,0.3,6262,746,0.20974,0.93098,0.11819,0.16523,0.73425,0.09309,0.11541,0.51227,0.06503,0.75999,0.76004,0.75993,0.50407,0.6,0.97095,0.58913,211.75796,4426.22,
51,0.7683,6.0,2.0,0.0,2.0,1.0,0.0,0.0,0.07229,0.52431,0.375,0.25,0.375,21024,1144,0.09572,0.95326,0.05039,0.06844,0.68226,0.03603,0.0573,0.57065,0.03016,0.79716,0.82703,0.76937,0.43118,0.25,0.95036,0.41063,490.79364,8898.54,
52,0.67626,8.0,1.0,1.0,0.0,0.0,0.0,1.0,0.41176,0.32183,0.6,0.2,0.2,4162,505,0.20318,0.93086,0.11404,0.11701,0.53713,0.06566,0.11587,0.53086,0.06503,0.83468,0.83921,0.8302,0.49014,0.5,0.98671,0.54374,143.89372,4426.22,
53,0.58511,6.0,3.0,0.0,2.0,0.0,0.0,1.0,0.25,0.42586,0.44444,0.44444,0.11111,7092,854,0.21155,0.94141,0.11916,0.16462,0.73333,0.09272,0.12148,0.54061,0.06843,0.7633,0.75875,0.76792,0.4948,0.33333,0.99958,0.48069,210.14679,4426.23,
54,0.97677,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10294,0.46056,0.25,0.375,0.375,17292,1022,0.1137,0.99033,0.06031,0.08473,0.73871,0.04494,0.06043,0.52632,0.03205,0.77706,0.79402,0.76081,0.555,0.875,0.96174,0.72367,428.28154,6506.43,
55,0.85688,10.0,2.0,0.0,1.0,0.0,0.0,1.0,0.12069,0.46076,0.25,0.66667,0.08333,14607,1025,0.13419,0.96404,0.07211,0.10684,0.76828,0.05741,0.08023,0.5764,0.04312,0.78835,0.79542,0.78141,0.47139,0.33333,0.99109,0.46814,517.81095,4774.95,
56,0.67487,7.0,2.0,0.0,2.0,1.0,0.0,0.0,0.375,0.41988,0.66667,0.0,0.33333,3849,458,0.21041,0.98446,0.11779,0.14792,0.69351,0.08279,0.12182,0.56995,0.0682,0.83002,0.84182,0.81855,0.57247,0.55556,0.92417,0.60087,123.35908,4426.21,
57,0.7057,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.22727,0.66358,0.16667,0.33333,0.5,5537,666,0.21474,0.96875,0.12075,0.164,0.74087,0.09221,0.11815,0.53299,0.06644,0.78659,0.79179,0.78146,0.54686,0.66667,0.99156,0.63925,137.4544,4426.21,
58,0.49482,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.10256,0.20782,0.83333,0.0,0.16667,9826,1023,0.19459,0.98772,0.10793,0.15527,0.78883,0.08611,0.12225,0.62054,0.0678,0.80589,0.81018,0.80164,0.58211,0.83333,0.99994,0.72438,210.15887,4426.22,
59,0.47215,7.0,3.0,0.0,0.0,1.0,2.0,0.0,0.27273,0.40247,0.4,0.4,0.2,5484,664,0.21429,0.96507,0.12052,0.15966,0.72007,0.08978,0.11592,0.52206,0.0652,0.77535,0.78869,0.76245,0.53469,0.8,0.99873,0.68722,180.3716,4426.22,
60,-0.31765,3.0,6.0,0.0,2.0,1.0,0.0,4.0,0.22581,0.52738,0.11111,0.66667,0.22222,7875,955,0.21832,0.99122,0.12267,0.17471,0.79397,0.09815,0.1169,0.53074,0.06568,0.7896,0.77735,0.80225,0.44572,0.22222,0.99274,0.41102,234.88135,4426.23,
61,0.61758,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.17241,0.33601,0.33333,0.66667,0.0,7346,886,0.21512,0.96,0.12113,0.16408,0.73298,0.09238,0.11712,0.52267,0.06595,0.80374,0.80575,0.80175,0.64562,0.83333,0.99517,0.75566,159.48172,4426.22,
62,0.99723,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857,0.63172,0.125,0.25,0.625,3457,414,0.21489,1.0,0.12038,0.20505,0.9564,0.11483,0.14762,0.68696,0.08269,0.83734,0.83632,0.83836,0.66731,0.75,0.88605,0.72226,108.95028,4426.21,
63,0.37783,7.0,3.0,0.0,3.0,2.0,0.0,0.0,0.36364,0.52837,0.1,0.7,0.2,5454,663,0.21452,0.96718,0.12064,0.1667,0.7526,0.09373,0.12296,0.5544,0.06915,0.79735,0.79916,0.79556,0.56796,0.8,0.94385,0.69837,169.52656,4426.22,
64,0.19094,6.0,4.0,0.0,3.0,0.0,1.0,1.0,0.21951,0.55776,0.3,0.3,0.4,10400,1024,0.17744,0.94085,0.09796,0.13202,0.70066,0.07288,0.09006,0.47755,0.04972,0.78678,0.79055,0.78304,0.37815,0.4,0.97886,0.44696,304.67799,4426.25,
65,0.99281,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.49345,0.16667,0.83333,0.0,6386,769,0.21464,0.98553,0.12043,0.18774,0.86312,0.10533,0.1257,0.57717,0.07053,0.81719,0.81651,0.81787,0.42216,0.5,0.98514,0.5096,180.80717,4426.22,
66,0.41003,6.0,3.0,0.0,2.0,0.0,2.0,0.0,0.22581,0.38321,0.44444,0.33333,0.22222,7696,933,0.22114,0.98761,0.12451,0.18374,0.82134,0.10344,0.1268,0.56629,0.0714,0.81296,0.82243,0.8037,0.57968,0.88889,0.94347,0.73974,227.30795,4426.23,
