sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
28,0.99929,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.06022,1.0,0.0,0.0,4871,123,0.04807,1.0,0.02463,0.04712,0.98969,0.02413,0.04268,0.88776,0.02186,0.82906,0.90125,0.76758,0.54286,0.57143,0.99994,0.6,136.37877,4289.16,
29,0.22077,3.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0678,0.16564,0.8,0.2,0.0,15057,121,0.0165,0.95283,0.00832,0.01274,0.74286,0.00643,0.01503,0.86792,0.00758,0.76487,0.812,0.7229,0.67252,0.6,0.99936,0.6762,252.62354,4763.83,
30,0.99869,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.02997,1.0,0.0,0.0,8090,123,0.02822,1.0,0.01431,0.02706,0.96875,0.01372,0.02676,0.94845,0.01357,0.87343,0.94727,0.81027,0.65426,0.83333,0.9928,0.75974,171.74901,4426.22,
31,0.99883,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08696,0.0301,1.0,0.0,0.0,5676,129,0.04005,0.97895,0.02044,0.03361,0.82979,0.01715,0.03661,0.89474,0.01869,0.85484,0.92013,0.79821,0.52849,0.6,0.99982,0.60423,124.15576,4426.21,
32,0.99931,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.03223,1.0,0.0,0.0,6656,123,0.03689,1.0,0.01879,0.03655,1.0,0.01861,0.03689,1.0,0.01879,0.87352,0.94911,0.80908,0.63556,1.0,1.0,0.81778,135.80903,4426.21,
33,0.90483,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.10345,0.0272,1.0,0.0,0.0,7289,140,0.03748,1.0,0.0191,0.03569,0.96117,0.01819,0.0346,0.92308,0.01763,0.89269,0.95497,0.83804,0.69024,1.0,0.99198,0.84432,213.42639,3988.57,
34,0.99787,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02273,0.01166,1.0,0.0,0.0,11012,121,0.0223,1.0,0.01127,0.02208,1.0,0.01116,0.02207,0.99,0.01116,0.86484,0.95893,0.78756,0.64193,0.75,0.91392,0.71236,164.217,4306.18,
35,0.58936,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.11538,0.05238,1.0,0.0,0.0,6557,122,0.03656,0.9898,0.01863,0.0313,0.85567,0.01594,0.03129,0.84694,0.01594,0.80709,0.86766,0.75443,0.42118,0.33333,0.98953,0.44288,135.78841,4426.21,
36,0.99689,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18182,0.13713,0.8,0.2,0.0,2779,117,0.08481,1.0,0.04428,0.08241,0.98039,0.04301,0.07904,0.93204,0.04127,0.86761,0.95211,0.7969,0.71448,1.0,0.96198,0.85344,76.82063,4426.2,
37,0.99555,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27778,0.21941,0.77778,0.22222,0.0,4528,119,0.04955,1.0,0.02541,0.04753,0.96875,0.02436,0.04955,1.0,0.02541,0.83985,0.88931,0.79561,0.63514,0.77778,0.99922,0.7286,148.84977,4323.73,
38,0.99783,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06122,0.0318,1.0,0.0,0.0,12368,126,0.0191,1.0,0.00964,0.01852,0.97938,0.00935,0.01851,0.96939,0.00935,0.87932,0.95111,0.81761,0.62604,0.8,0.99976,0.733,203.07054,4426.23,
39,0.71392,6.0,1.0,0.0,1.0,1.0,1.0,0.0,0.08333,0.08934,0.85714,0.14286,0.0,5959,120,0.04148,1.0,0.02118,0.0407,0.99038,0.02078,0.04148,1.0,0.02118,0.87492,0.95468,0.80746,0.58279,0.71429,0.96969,0.67408,148.86159,3972.19,
40,0.99603,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526,0.06847,1.0,0.0,0.0,4640,125,0.04669,1.0,0.0239,0.04516,0.97753,0.02311,0.04669,1.0,0.0239,0.85364,0.92489,0.79258,0.61247,0.8,0.89938,0.71617,96.11781,4426.21,
41,0.86483,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.10526,0.15116,0.83333,0.0,0.16667,9613,121,0.02494,0.9901,0.01263,0.0242,0.97,0.01225,0.02494,0.9901,0.01263,0.82826,0.89049,0.77416,0.66759,0.83333,0.98092,0.76522,187.32277,4426.22,
42,0.99921,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02778,0.01438,1.0,0.0,0.0,18215,119,0.01364,1.0,0.00687,0.01339,0.99038,0.00674,0.01364,1.0,0.00687,0.85932,0.96229,0.77626,0.46556,0.16667,0.99997,0.39944,326.53183,7095.39,
43,0.80705,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10345,0.46147,0.4,0.0,0.6,7222,126,0.02909,0.92,0.01478,0.02183,0.69697,0.01109,0.02466,0.78,0.01253,0.80949,0.87087,0.75619,0.44915,0.4,0.97324,0.4819,137.34972,4426.21,
