sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
63,0.9974,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09091,0.09117,0.85714,0.14286,0.0,5454,490,0.16256,0.96487,0.08875,0.14565,0.8662,0.07951,0.13257,0.78689,0.07238,0.88119,0.88006,0.88232,0.66783,1.0,0.76638,0.79705,168.09306,4426.21,
64,0.82168,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.12195,0.17761,0.83333,0.16667,0.0,10400,497,0.0912,0.99762,0.04778,0.09013,0.98807,0.04722,0.08205,0.89762,0.04299,0.87928,0.87596,0.88262,0.60985,0.66667,0.99923,0.74371,282.99439,4426.23,
65,0.99401,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.27166,0.66667,0.16667,0.16667,6386,495,0.15111,1.0,0.08173,0.14789,0.98072,0.07998,0.14602,0.96635,0.07898,0.9375,0.93705,0.93794,0.5407,0.66667,0.99941,0.7161,275.34189,4426.22,
66,0.96522,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129,0.23992,625.0,0.25,125.0,7696,490,0.12277,0.98588,0.06546,0.11342,0.91274,0.06047,0.10284,0.82588,0.05484,0.88831,0.88853,0.88809,0.60142,625.0,0.98813,0.72451,267.74045,4426.23,
67,0.97626,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07937,0.11739,875.0,125.0,0.0,15906,501,0.06127,1.0,0.0316,0.05928,0.9697,0.03057,0.05557,0.90698,0.02866,0.90485,0.90056,0.90918,0.63556,875.0,0.94161,0.79921,425.34613,5462.88,
68,0.91242,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.06656,1.0,0.0,0.0,6461,498,0.13961,0.97143,0.07521,0.11398,0.79475,0.06139,0.11634,0.80952,0.06267,0.88994,0.88528,0.89464,0.82165,1.0,0.84381,0.8818,165.8395,4426.21,
69,0.85124,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.2,0.40957,0.42857,0.14286,0.42857,4983,500,0.18333,0.99762,0.10094,0.17991,0.98095,0.09904,0.16368,0.89074,0.09012,0.87572,0.8718,0.87968,0.55973,0.57143,0.95362,0.68141,162.01489,4426.21,
70,0.88087,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.10256,0.16158,0.77778,0.22222,0.0,9824,493,0.09197,0.96287,0.04829,0.08206,0.86104,0.04308,0.07566,0.79208,0.03973,0.86268,0.8546,0.87092,0.61417,0.88889,0.95553,0.79899,297.56198,4426.23,
71,0.9945,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692,0.09874,0.8,0.2,0.0,9871,487,0.09633,0.99758,0.05061,0.09425,0.97816,0.04951,0.08511,0.88136,0.04471,0.9112,0.90703,0.91541,0.71831,0.8,0.99985,0.82728,217.45472,4426.22,
72,0.99768,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.23325,0.66667,0.22222,0.11111,4475,490,0.18916,1.0,0.10446,0.18408,0.97512,0.10163,0.15583,0.82382,0.08605,0.90892,0.9073,0.91055,0.67395,0.88889,0.77858,0.76982,168.35664,4426.21,
73,0.83008,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.27273,0.13268,0.85714,0.14286,0.0,2617,319,0.1904,0.89394,0.10655,0.16068,0.75665,0.08988,0.1791,0.84091,0.10023,0.91809,0.93659,0.90031,0.59425,0.71429,0.9926,0.74977,104.77551,4426.21,
74,0.99786,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.07459,1.0,0.0,0.0,2087,247,0.20763,0.99512,0.11591,0.19664,0.94608,0.10972,0.20356,0.97561,0.11364,0.89713,0.91529,0.87968,0.61605,0.85714,0.87166,0.76506,90.00834,4376.3,
75,0.89466,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.21739,0.2763,0.66667,0.11111,0.22222,5815,529,0.15417,0.97324,0.08372,0.11644,0.73659,0.06322,0.12989,0.81995,0.07053,0.92271,0.92548,0.91997,0.47073,0.55556,0.9948,0.6534,199.39261,4426.22,
76,0.99825,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.19499,0.7,0.2,0.1,6862,489,0.13633,0.99765,0.07316,0.13092,0.96,0.07025,0.10617,777.0,0.05698,0.88113,0.8734,889.0,0.63196,0.8,0.99992,0.79276,261.86469,4426.23,
77,0.83936,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.20833,0.27029,0.5,0.5,0.0,6119,532,0.16604,0.99527,0.09058,0.16137,0.96919,0.08801,155.0,0.92908,0.08455,0.91884,0.91807,0.91962,0.60472,0.7,0.99225,0.74956,357.8884,4426.23,
78,0.75369,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.37023,0.42857,0.57143,0.0,6153,483,0.13499,0.98143,0.07248,0.12591,0.91755,0.06759,0.09048,0.65782,0.04858,0.9056,0.90507,0.90613,0.55649,0.42857,0.98174,0.64569,194.84898,4426.22,
79,0.98914,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538,0.07574,1.0,0.0,0.0,6591,507,0.14053,0.98301,0.07567,0.12044,0.84428,0.06485,0.09854,0.68932,0.05306,0.88848,0.88559,0.89139,0.65122,0.88889,0.99986,0.82711,255.80942,4426.23,
80,0.99512,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774,0.06738,1.0,0.0,0.0,13321,493,0.07097,0.99519,0.0368,0.06772,0.95181,0.03511,0.0648,0.90865,0.0336,0.9072,0.8993,0.91525,0.62313,0.83333,0.99894,0.79893,321.69902,4907.52,
