sample_id,score,supported,contradicted,not_supported,predicate_errors,entity_errors,coref_errors,other_erros,coverage_ratio,mean_position,start_ratio,middle_ratio,end_ratio,ref_len_tokens,summary_len_tokens,rouge1_f,rouge1_p,rouge1_r,rouge2_f,rouge2_p,rouge2_r,rougeL_f,rougeL_p,rougeL_r,bert_score_f1,bert_score_precision,bert_score_recall,evidence_score,faithfulness_score,stability_score,reliability_score,execution_time,vram_max_mb,erro
74,0.99835,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.07459,1.0,0.0,0.0,2087,247,0.20763,0.99512,0.11591,0.19664,0.94608,0.10972,0.20356,0.97561,0.11364,0.85966,0.87933,0.84084,0.61605,0.85714,0.93132,0.74401,78.18008,4375.55,
75,0.8936,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.21739,0.24789,0.625,0.25,0.125,5815,529,0.159,0.99041,0.08644,0.1321,0.82452,0.0718,0.13667,0.85132,0.0743,0.92492,0.93174,0.9182,0.54863,0.625,0.93962,0.61828,156.12983,4426.22,
76,0.99864,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22222,0.21916,0.63636,0.27273,0.09091,6862,489,0.13633,0.99765,0.07316,0.13092,0.96,0.07025,0.10585,0.77465,0.05681,0.85119,0.83098,0.87241,0.63837,0.81818,0.99996,0.74645,227.79229,4426.23,
77,0.99915,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.18813,0.625,0.375,0.0,6119,532,0.16604,0.99527,0.09058,0.16137,0.96919,0.08801,0.155,0.92908,0.08455,0.90975,0.8988,0.92096,0.69164,0.875,0.99985,0.79581,170.6878,4426.22,
78,0.85969,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.40592,0.42857,0.57143,0.0,6153,483,0.13499,0.98143,0.07248,0.12591,0.91755,0.06759,0.09048,0.65782,0.04858,0.88083,0.87973,0.88194,0.49452,0.42857,0.99672,0.51836,156.84682,4426.22,
79,0.99716,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538,0.09218,1.0,0.0,0.0,6591,507,0.14053,0.98301,0.07567,0.12253,0.85888,0.06597,0.09993,0.69903,0.05381,0.86622,0.86239,0.87009,0.60298,0.85714,0.99977,0.74432,171.73964,4426.22,
80,0.99442,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03774,0.06738,1.0,0.0,0.0,13321,493,0.07097,0.99519,0.0368,0.06772,0.95181,0.03511,0.0648,0.90865,0.0336,0.89167,0.8784,0.90534,0.71021,0.83333,0.99869,0.78831,248.1423,4426.23,
81,0.67757,7.0,4.0,0.0,4.0,2.0,0.0,0.0,0.04651,0.35377,0.63636,0.0,0.36364,22016,488,0.03883,0.88834,0.01985,0.02593,0.59453,0.01325,0.03428,0.78412,0.01752,0.87686,0.87183,0.88195,0.48103,0.54545,0.99864,0.55856,673.69656,10172.16,
82,0.97731,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25487,0.66667,0.16667,0.16667,2877,340,0.20762,0.97091,0.11624,0.19844,0.93066,0.11106,0.20684,0.96727,0.1158,0.90893,0.94077,0.87918,0.55879,0.66667,0.99542,0.6456,88.21462,4426.2,
83,0.81218,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.10811,0.19047,0.8,0.1,0.1,9463,488,0.09663,0.95823,0.05088,0.08625,0.85714,0.04541,0.07879,0.78133,0.04149,0.86433,0.86351,0.86516,0.4582,0.7,0.93548,0.60265,270.13479,4426.23,
84,0.62397,6.0,2.0,0.0,2.0,2.0,0.0,0.0,0.07317,0.27123,0.75,0.0,0.25,20857,503,0.04541,0.98077,0.02324,0.03951,0.85542,0.02022,0.03884,0.83894,0.01988,0.8497,0.83338,0.86667,0.58199,0.625,0.94551,0.63554,482.90949,9103.55,
85,0.99775,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651,0.0655,1.0,0.0,0.0,21976,496,0.04427,1.0,0.02264,0.04365,0.98818,0.02232,0.04208,0.95047,0.02151,0.92686,0.91721,0.93672,0.63572,0.77778,0.88651,0.71762,586.72,10007.95,
86,0.97152,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10204,0.19935,0.875,0.0,0.125,12441,487,0.08351,0.98845,0.0436,0.07299,0.86574,0.0381,0.07512,0.88915,0.03922,0.88942,0.88495,0.89394,0.57507,0.625,0.99861,0.6374,319.66986,4426.24,
87,0.79539,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13636,0.19938,0.6,0.4,0.0,5531,499,0.16758,0.94774,0.09191,0.14496,0.82143,0.07949,0.1239,0.70071,0.06796,0.83537,0.83373,0.83702,0.70319,1.0,0.99809,0.8514,126.05887,4426.21,
88,0.99628,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.33548,0.5,0.5,0.0,10018,507,0.09377,1.0,0.04919,0.09219,0.98533,0.04836,0.07913,0.8439,0.04151,0.87418,0.86878,0.87964,0.5933,0.66667,0.9448,0.6578,216.71168,4426.22,
89,0.98862,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07143,0.36496,0.44444,0.55556,0.0,10607,491,0.08899,0.94931,0.04669,0.06525,0.69746,0.03422,0.07258,0.77419,0.03807,0.86649,0.87119,0.86185,0.29654,0.33333,0.96195,0.3778,295.14842,4426.24,
90,0.88097,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.41176,0.44084,0.66667,0.0,0.33333,4271,497,0.2129,0.9976,0.11916,0.20686,0.97115,0.11576,0.174,0.81535,0.09739,0.78768,0.78988,0.78549,0.56809,0.66667,0.93719,0.64443,162.8943,4426.22,
